data,consumidores,consumo_kw,"temperatura_do_ar___bulbo_seco,_horaria_(c)",temperatura_do_ponto_de_orvalho_(c),temperatura_maxima_na_hora_ant._(aut)_(c),temperatura_minima_na_hora_ant._(aut)_(c),temperatura_orvalho_max._na_hora_ant._(aut)_(c),temperatura_orvalho_min._na_hora_ant._(aut)_(c),temp._ins._(c),temp._max._(c),temp._min._(c)
20170201,1169,165,,,,,,,,,
20120201,14,1156,,,,,,,,,
20220401,5,"473,115",,,,,,,,,
20131201,64814,692,,,,,,,,,
20151001,458,26909,,,,,,,,,
20140801,876,1005,,,,,,,,,
20171101,1,20,,,,,,,,,
20140501,2238,102952,,,,,,,,,
20160101,14202,13492,,,,,,,,,
20160101,5,39,,,,,,,,,
20160501,7,94,,,,,,,,,
20110601,112927,6458,,,,,,,,,
20221201,675,"494,315",,,,,,,,,
20231101,6,"1043,814",,,,,,,,,
20211201,808,"839,249",,,,,,,,,
20170701,2,1,,,,,,,,,
20220501,32,"12724,013",,,,,,,,,
20150301,2,284,,,,,,,,,
20180201,330278,23282,,,,,,,,,
20180701,112,"2408,885",,,,,,,,,
20210101,"21713,733","7211,509",,,,,,,,,
20151101,1,283,,,,,,,,,
20130801,163,3046,,,,,,,,,
20221101,33485,"1052,267",,,,,,,,,
20180101,394,"161,72",,,,,,,,,
20151201,1,55,,,,,,,,,
20220401,348712,"5783,077",,,,,,,,,
20150901,249,35,,,,,,,,,
20240401,281,"4425,243",,,,,,,,,
20201201,123,1794,,,,,,,,,
20110701,16393,507,,,,,,,,,
20230101,36262,"2594,105",,,,,,,,,
20181101,170,"3408,818",,,,,,,,,
20200601,71,"14,398",,,,,,,,,
20130201,230,18101,,,,,,,,,
20210401,28,120,,,,,,,,,
20150101,962,3552,,,,,,,,,
20170701,5472635,846844,,,,,,,,,
20170401,429,305192,,,,,,,,,
2024/08/18,,,"23,8","6,3","23,9","22,2","6,6","5,9",,,
20200101,1257,2766,,,,,,,,,
20221101,5,"117,294",,,,,,,,,
20201201,14569,"86951,145",,,,,,,,,
20190901,15,"318,255",,,,,,,,,
20120501,19296,23096,,,,,,,,,
20120201,23395,6921,,,,,,,,,
20200201,181,"6071,281",,,,,,,,,
20111001,22041,6757,,,,,,,,,
20190901,224,"16232,669",,,,,,,,,
20210401,80,"78,276",,,,,,,,,
20201101,66667,"45233,187",,,,,,,,,
20240601,20881,"13101,658",,,,,,,,,
20230701,244,"52,385",,,,,,,,,
20191001,73587,"99995,951",,,,,,,,,
20150401,39,4782,,,,,,,,,
20201201,31,"244,829",,,,,,,,,
20200101,812,"957,408",,,,,,,,,
20111001,8,1,,,,,,,,,
20210401,1905,"51,843",,,,,,,,,
20220801,1841,"40669,169",,,,,,,,,
20110801,72599,30517,,,,,,,,,
20240701,76,"154664,093",,,,,,,,,
20231101,2265,"43943,252",,,,,,,,,
20130401,28206,9740,,,,,,,,,
20210201,1,"0,03",,,,,,,,,
20240701,3,"0,582",,,,,,,,,
20240401,231751,"58600,523",,,,,,,,,
20130301,66,763,,,,,,,,,
20180901,65,,,,,,,,,,
20221101,12,"427,124",,,,,,,,,
